sample_id,focal,minute,timestamp,individual,sex,age,height,nutcracking
2023-07-26_1441_MVI_6431_1,2023-07-26_1441_MVI_6431,1,2023-07-26 14:41:00,Chicó,male,adult,8,0
2023-07-26_1505_MVI_6436_1,2023-07-26_1505_MVI_6436,1,2023-07-26 15:05:00,Chicó,male,adult,6,0
2023-07-27_1143_MVI_6441_1,2023-07-27_1143_MVI_6441,1,2023-07-27 11:43:00,Açucena,female,adult,9,0
2023-07-27_1159_MVI_6446_1,2023-07-27_1159_MVI_6446,1,2023-07-27 11:59:00,Açucena,female,adult,11,0
2023-06-11_0748_MVI_4516_1,2023-06-11_0748_MVI_4516,1,2023-06-11 07:48:00,João Grilo,male,subadult,7,0
2023-06-11_0827_MVI_4525_1,2023-06-11_0827_MVI_4525,1,2023-06-11 08:27:00,João Grilo,male,subadult,7,0
2023-06-11_0842_MVI_4529_1,2023-06-11_0842_MVI_4529,1,2023-06-11 08:42:00,João Grilo,male,subadult,8.5,0
2023-06-11_0906_MVI_4534_1,2023-06-11_0906_MVI_4534,1,2023-06-11 09:06:00,João Grilo,male,subadult,0.2,1
2023-06-11_0922_MVI_4542_1,2023-06-11_0922_MVI_4542,1,2023-06-11 09:22:00,João Grilo,male,subadult,7,0
2023-06-11_1004_MVI_4545_1,2023-06-11_1004_MVI_4545,1,2023-06-11 10:04:00,João Grilo,male,subadult,7.5,0
2023-06-11_1020_MVI_4549_1,2023-06-11_1020_MVI_4549,1,2023-06-11 10:20:00,João Grilo,male,subadult,7,0
2023-06-11_1042_MVI_4553_1,2023-06-11_1042_MVI_4553,1,2023-06-11 10:42:00,João Grilo,male,subadult,9,0
2023-07-27_1217_MVI_6450_1,2023-07-27_1217_MVI_6450,1,2023-07-27 12:17:00,Açucena,female,adult,12,0
2023-07-27_1234_MVI_6453_1,2023-07-27_1234_MVI_6453,1,2023-07-27 12:34:00,Açucena,female,adult,10,0
2023-07-27_1251_MVI_6456_1,2023-07-27_1251_MVI_6456,1,2023-07-27 12:51:00,Açucena,female,adult,12.5,0
2023-07-27_1338_MVI_6465_1,2023-07-27_1338_MVI_6465,1,2023-07-27 13:38:00,Açucena,female,adult,5.5,0
2023-07-27_1354_MVI_6467_1,2023-07-27_1354_MVI_6467,1,2023-07-27 13:54:00,Açucena,female,adult,0.4,1
2023-07-27_1410_MVI_6472_1,2023-07-27_1410_MVI_6472,1,2023-07-27 14:10:00,Açucena,female,adult,0.1,1
2023-07-27_1437_MVI_6476_1,2023-07-27_1437_MVI_6476,1,2023-07-27 14:37:00,Açucena,female,adult,11,0
2023-06-11_1107_MVI_4558_1,2023-06-11_1107_MVI_4558,1,2023-06-11 11:07:00,João Grilo,male,subadult,10,0
2023-07-27_1522_MVI_6481_1,2023-07-27_1522_MVI_6481,1,2023-07-27 15:22:00,Açucena,female,adult,12,0
2023-06-11_1124_MVI_4561_1,2023-06-11_1124_MVI_4561,1,2023-06-11 11:24:00,João Grilo,male,subadult,4,0
2023-06-11_1140_MVI_4565_1,2023-06-11_1140_MVI_4565,1,2023-06-11 11:40:00,João Grilo,male,subadult,10,0
2023-06-11_1157_MVI_4569_1,2023-06-11_1157_MVI_4569,1,2023-06-11 11:57:00,João Grilo,male,subadult,9,0
2023-06-11_1213_MVI_4573_1,2023-06-11_1213_MVI_4573,1,2023-06-11 12:13:00,João Grilo,male,subadult,9,0
2023-06-11_1229_MVI_4577_1,2023-06-11_1229_MVI_4577,1,2023-06-11 12:29:00,João Grilo,male,subadult,7,0
2023-06-11_1246_MVI_4581_1,2023-06-11_1246_MVI_4581,1,2023-06-11 12:46:00,João Grilo,male,subadult,7,0
2023-07-29_0657_MVI_6487_1,2023-07-29_0657_MVI_6487,1,2023-07-29 06:57:00,Baleia,female,adult,9,0
2023-06-11_1304_MVI_4587_1,2023-06-11_1304_MVI_4587,1,2023-06-11 13:04:00,João Grilo,male,subadult,0,1
2023-06-11_1320_MVI_4592_1,2023-06-11_1320_MVI_4592,1,2023-06-11 13:20:00,João Grilo,male,subadult,3.5,0
2023-07-29_0723_MVI_6490_1,2023-07-29_0723_MVI_6490,1,2023-07-29 07:23:00,Baleia,female,adult,4.5,0
2023-06-11_1339_MVI_4595_1,2023-06-11_1339_MVI_4595,1,2023-06-11 13:39:00,João Grilo,male,subadult,6,0
2023-07-29_0740_MVI_6495_1,2023-07-29_0740_MVI_6495,1,2023-07-29 07:40:00,Baleia,female,adult,0,1
2023-07-29_0759_MVI_6499_1,2023-07-29_0759_MVI_6499,1,2023-07-29 07:59:00,Baleia,female,adult,0,1
2023-06-13_0853_MVI_4600_1,2023-06-13_0853_MVI_4600,1,2023-06-13 08:53:00,Fabiano,male,adult,8,0
2023-07-29_0822_MVI_6506_1,2023-07-29_0822_MVI_6506,1,2023-07-29 08:22:00,Baleia,female,adult,0,0
2023-06-13_0926_MVI_4606_1,2023-06-13_0926_MVI_4606,1,2023-06-13 09:26:00,Fabiano,male,adult,7,0
2023-06-13_0943_MVI_4611_1,2023-06-13_0943_MVI_4611,1,2023-06-13 09:43:00,Fabiano,male,adult,8,0
2023-06-13_1000_MVI_4615_1,2023-06-13_1000_MVI_4615,1,2023-06-13 10:00:00,Fabiano,male,adult,8,0
2023-06-13_1017_MVI_4619_1,2023-06-13_1017_MVI_4619,1,2023-06-13 10:17:00,Fabiano,male,adult,6.5,0
2023-06-14_0705_MVI_4624_1,2023-06-14_0705_MVI_4624,1,2023-06-14 07:05:00,Tapioca,female,adult,2.5,1
2023-06-14_0722_MVI_4629_1,2023-06-14_0722_MVI_4629,1,2023-06-14 07:22:00,Tapioca,female,adult,11,0
2023-03-18_0930_MVI_0056_1,2023-03-18_0930_MVI_0056,1,2023-03-18 09:30:00,Maria Bonita,female,adult,6,0
2023-03-18_0946_MVI_0060_1,2023-03-18_0946_MVI_0060,1,2023-03-18 09:46:00,Maria Bonita,female,adult,8,0
2023-03-18_1009_MVI_0065_1,2023-03-18_1009_MVI_0065,1,2023-03-18 10:09:00,Maria Bonita,female,adult,0,1
2023-03-18_1033_MVI_0070_1,2023-03-18_1033_MVI_0070,1,2023-03-18 10:33:00,Maria Bonita,female,adult,0,1
2023-03-18_1118_MVI_0079_1,2023-03-18_1118_MVI_0079,1,2023-03-18 11:18:00,Maria Bonita,female,adult,4,1
2023-03-18_1135_MVI_0084_1,2023-03-18_1135_MVI_0084,1,2023-03-18 11:35:00,Maria Bonita,female,adult,5,1
2023-03-18_1221_MVI_0088_1,2023-03-18_1221_MVI_0088,1,2023-03-18 12:21:00,Maria Bonita,female,adult,9,0
2023-03-18_1238_MVI_0093_1,2023-03-18_1238_MVI_0093,1,2023-03-18 12:38:00,Maria Bonita,female,adult,7,0
2023-03-18_1304_MVI_0097_1,2023-03-18_1304_MVI_0097,1,2023-03-18 13:04:00,Maria Bonita,female,adult,7.5,0
2023-03-18_1335_MVI_0102_1,2023-03-18_1335_MVI_0102,1,2023-03-18 13:35:00,Maria Bonita,female,adult,0.5,1
2023-03-18_1424_MVI_0109_1,2023-03-18_1424_MVI_0109,1,2023-03-18 14:24:00,Maria Bonita,female,adult,4,1
2023-03-18_1441_MVI_0113_1,2023-03-18_1441_MVI_0113,1,2023-03-18 14:41:00,Maria Bonita,female,adult,0,1
2023-03-18_1457_MVI_0116_1,2023-03-18_1457_MVI_0116,1,2023-03-18 14:57:00,Maria Bonita,female,adult,11,0
2023-03-08_0730_MVI_1295_1,2023-03-08_0730_MVI_1295,1,2023-03-08 07:30:00,Fabiano,male,adult,9,0
2023-03-08_0750_MVI_1299_1,2023-03-08_0750_MVI_1299,1,2023-03-08 07:50:00,Fabiano,male,adult,10,0
2023-03-08_0808_MVI_1303_1,2023-03-08_0808_MVI_1303,1,2023-03-08 08:08:00,Fabiano,male,adult,4.5,0
2023-03-08_0834_MVI_1307_1,2023-03-08_0834_MVI_1307,1,2023-03-08 08:34:00,Fabiano,male,adult,9,0
2023-06-14_0738_MVI_4634_1,2023-06-14_0738_MVI_4634,1,2023-06-14 07:38:00,Tapioca,female,adult,2.5,1
2023-06-14_0753_MVI_4639_1,2023-06-14_0753_MVI_4639,1,2023-06-14 07:53:00,Tapioca,female,adult,0,1
2023-06-14_0813_MVI_4646_1,2023-06-14_0813_MVI_4646,1,2023-06-14 08:13:00,Tapioca,female,adult,5,0
2023-06-14_0829_MVI_4650_1,2023-06-14_0829_MVI_4650,1,2023-06-14 08:29:00,Tapioca,female,adult,1.5,1
2023-06-15_0758_MVI_4688_1,2023-06-15_0758_MVI_4688,1,2023-06-15 07:58:00,Maria Moura,female,adult,2,0
2023-06-15_0817_MVI_4691_1,2023-06-15_0817_MVI_4691,1,2023-06-15 08:17:00,Maria Moura,female,adult,6,0
2023-06-15_0833_MVI_4694_1,2023-06-15_0833_MVI_4694,1,2023-06-15 08:33:00,Maria Moura,female,adult,7,0
2022-10-21_1019_MVI_7217_1,2022-10-21_1019_MVI_7217,1,2022-10-21 10:19:00,Maria Bonita,female,adult,6,0
2022-10-21_1034_MVI_7218_1,2022-10-21_1034_MVI_7218,1,2022-10-21 10:34:00,Maria Bonita,female,adult,5,0
2022-10-21_1056_MVI_7221_1,2022-10-21_1056_MVI_7221,1,2022-10-21 10:56:00,Maria Bonita,female,adult,8,0
2022-10-21_1134_MVI_7227_1,2022-10-21_1134_MVI_7227,1,2022-10-21 11:34:00,Maria Bonita,female,adult,0.3,0
2022-10-21_1205_MVI_7230_1,2022-10-21_1205_MVI_7230,1,2022-10-21 12:05:00,Maria Bonita,female,adult,0,0
2022-10-21_1354_MVI_7239_1,2022-10-21_1354_MVI_7239,1,2022-10-21 13:54:00,Maria Bonita,female,adult,10,0
2022-10-21_1409_MVI_7241_1,2022-10-21_1409_MVI_7241,1,2022-10-21 14:09:00,Maria Bonita,female,adult,5,0
2022-10-21_1442_MVI_7247_1,2022-10-21_1442_MVI_7247,1,2022-10-21 14:42:00,Maria Bonita,female,adult,8,0
2022-10-21_1457_MVI_7248_1,2022-10-21_1457_MVI_7248,1,2022-10-21 14:57:00,Maria Bonita,female,adult,3,0
2022-10-21_1512_MVI_7249_1,2022-10-21_1512_MVI_7249,1,2022-10-21 15:12:00,Maria Bonita,female,adult,7,0
2022-10-21_1527_MVI_7252_1,2022-10-21_1527_MVI_7252,1,2022-10-21 15:27:00,Maria Bonita,female,adult,5,0
2022-10-21_1542_MVI_7253_1,2022-10-21_1542_MVI_7253,1,2022-10-21 15:42:00,Maria Bonita,female,adult,2,0
2022-10-21_1612_MVI_7254_1,2022-10-21_1612_MVI_7254,1,2022-10-21 16:12:00,Maria Bonita,female,adult,0,0
2022-10-21_1612_MVI_7255_1,2022-10-21_1612_MVI_7255,1,2022-10-21 16:12:00,Maria Bonita,female,adult,2.5,0
2023-04-14_1219_MVI_2290_1,2023-04-14_1219_MVI_2290,1,2023-04-14 12:19:00,Mucunzá,male,subadult,0,1
2023-04-29_0925_MVI_2505_1,2023-04-29_0925_MVI_2505,1,2023-04-29 09:25:00,Tapioca,female,adult,8,0
2023-06-15_0849_MVI_4697_1,2023-06-15_0849_MVI_4697,1,2023-06-15 08:49:00,Maria Moura,female,adult,6,0
2023-06-15_0921_MVI_4703_1,2023-06-15_0921_MVI_4703,1,2023-06-15 09:21:00,Maria Moura,female,adult,6,0
2023-06-15_0936_MVI_4708_1,2023-06-15_0936_MVI_4708,1,2023-06-15 09:36:00,Maria Moura,female,adult,8,0
2023-06-15_0952_MVI_4711_1,2023-06-15_0952_MVI_4711,1,2023-06-15 09:52:00,Maria Moura,female,adult,8,0
2023-06-16_0656_MVI_4716_1,2023-06-16_0656_MVI_4716,1,2023-06-16 06:56:00,Cuscuz,male,adult,0,1
2023-06-16_0710_MVI_4721_1,2023-06-16_0710_MVI_4721,1,2023-06-16 07:10:00,Cuscuz,male,adult,0,1
2023-06-16_0726_MVI_4725_1,2023-06-16_0726_MVI_4725,1,2023-06-16 07:26:00,Cuscuz,male,adult,9,0
2023-06-16_0829_MVI_4729_1,2023-06-16_0829_MVI_4729,1,2023-06-16 08:29:00,Cuscuz,male,adult,9,0
2023-06-16_0845_MVI_4732_1,2023-06-16_0845_MVI_4732,1,2023-06-16 08:45:00,Cuscuz,male,adult,15,0
2023-06-16_0901_MVI_4735_1,2023-06-16_0901_MVI_4735,1,2023-06-16 09:01:00,Cuscuz,male,adult,13,0
2023-06-16_0917_MVI_4739_1,2023-06-16_0917_MVI_4739,1,2023-06-16 09:17:00,Cuscuz,male,adult,11,0
2023-06-16_0933_MVI_4742_1,2023-06-16_0933_MVI_4742,1,2023-06-16 09:33:00,Cuscuz,male,adult,6,0
2023-06-16_0949_MVI_4745_1,2023-06-16_0949_MVI_4745,1,2023-06-16 09:49:00,Cuscuz,male,adult,3.5,1
2023-06-16_1005_MVI_4748_1,2023-06-16_1005_MVI_4748,1,2023-06-16 10:05:00,Cuscuz,male,adult,8.5,0
2023-06-16_1022_MVI_4751_1,2023-06-16_1022_MVI_4751,1,2023-06-16 10:22:00,Cuscuz,male,adult,10,0
2023-06-16_1038_MVI_4754_1,2023-06-16_1038_MVI_4754,1,2023-06-16 10:38:00,Cuscuz,male,adult,8,0
2023-06-16_1057_MVI_4758_1,2023-06-16_1057_MVI_4758,1,2023-06-16 10:57:00,Cuscuz,male,adult,8,0
2023-06-16_1113_MVI_4761_1,2023-06-16_1113_MVI_4761,1,2023-06-16 11:13:00,Cuscuz,male,adult,9,0
2023-06-16_1129_MVI_4764_1,2023-06-16_1129_MVI_4764,1,2023-06-16 11:29:00,Cuscuz,male,adult,8,0
2023-06-16_1250_MVI_4769_1,2023-06-16_1250_MVI_4769,1,2023-06-16 12:50:00,Cuscuz,male,adult,10,0
2023-06-16_1308_MVI_4773_1,2023-06-16_1308_MVI_4773,1,2023-06-16 13:08:00,Cuscuz,male,adult,7,0
2023-06-16_1329_MVI_4777_1,2023-06-16_1329_MVI_4777,1,2023-06-16 13:29:00,Cuscuz,male,adult,5.5,0
2023-06-16_1345_MVI_4780_1,2023-06-16_1345_MVI_4780,1,2023-06-16 13:45:00,Cuscuz,male,adult,4,0
2023-06-16_1401_MVI_4783_1,2023-06-16_1401_MVI_4783,1,2023-06-16 14:01:00,Cuscuz,male,adult,2,1
2023-06-16_1449_MVI_4787_1,2023-06-16_1449_MVI_4787,1,2023-06-16 14:49:00,Cuscuz,male,adult,9,0
2023-06-16_1519_MVI_4791_1,2023-06-16_1519_MVI_4791,1,2023-06-16 15:19:00,Cuscuz,male,adult,15,0
2023-06-17_0730_MVI_4797_1,2023-06-17_0730_MVI_4797,1,2023-06-17 07:30:00,Maria Moura,female,adult,10,0
2023-06-17_0750_MVI_4803_1,2023-06-17_0750_MVI_4803,1,2023-06-17 07:50:00,Maria Moura,female,adult,6,0
2023-06-17_0812_MVI_4808_1,2023-06-17_0812_MVI_4808,1,2023-06-17 08:12:00,Maria Moura,female,adult,7,0
2023-06-17_0829_MVI_4814_1,2023-06-17_0829_MVI_4814,1,2023-06-17 08:29:00,Maria Moura,female,adult,0.1,1
2023-06-17_0845_MVI_4818_1,2023-06-17_0845_MVI_4818,1,2023-06-17 08:45:00,Maria Moura,female,adult,7,0
2023-06-17_0901_MVI_4821_1,2023-06-17_0901_MVI_4821,1,2023-06-17 09:01:00,Maria Moura,female,adult,8,0
2023-06-17_0917_MVI_4824_1,2023-06-17_0917_MVI_4824,1,2023-06-17 09:17:00,Maria Moura,female,adult,6.5,0
2023-06-17_0933_MVI_4827_1,2023-06-17_0933_MVI_4827,1,2023-06-17 09:33:00,Maria Moura,female,adult,3.5,0
2023-06-17_1021_MVI_4832_1,2023-06-17_1021_MVI_4832,1,2023-06-17 10:21:00,Maria Moura,female,adult,0.5,0
2023-06-17_1038_MVI_4838_1,2023-06-17_1038_MVI_4838,1,2023-06-17 10:38:00,Maria Moura,female,adult,4,0
2023-06-17_1054_MVI_4844_1,2023-06-17_1054_MVI_4844,1,2023-06-17 10:54:00,Maria Moura,female,adult,0,0
2023-06-17_1119_MVI_4848_1,2023-06-17_1119_MVI_4848,1,2023-06-17 11:19:00,Maria Moura,female,adult,0,0
2023-06-17_1135_MVI_4854_1,2023-06-17_1135_MVI_4854,1,2023-06-17 11:35:00,Maria Moura,female,adult,3,0
2023-06-17_1231_MVI_4859_1,2023-06-17_1231_MVI_4859,1,2023-06-17 12:31:00,Maria Moura,female,adult,0.3,1
2023-06-17_1310_MVI_4863_1,2023-06-17_1310_MVI_4863,1,2023-06-17 13:10:00,Maria Moura,female,adult,7,0
2023-06-17_1328_MVI_4867_1,2023-06-17_1328_MVI_4867,1,2023-06-17 13:28:00,Maria Moura,female,adult,12,0
2023-06-17_1351_MVI_4871_1,2023-06-17_1351_MVI_4871,1,2023-06-17 13:51:00,Maria Moura,female,adult,2.5,0
2023-06-17_1406_MVI_4874_1,2023-06-17_1406_MVI_4874,1,2023-06-17 14:06:00,Maria Moura,female,adult,9,0
2023-06-17_1430_MVI_4877_1,2023-06-17_1430_MVI_4877,1,2023-06-17 14:30:00,Maria Moura,female,adult,9,0
2023-06-17_1447_MVI_4880_1,2023-06-17_1447_MVI_4880,1,2023-06-17 14:47:00,Maria Moura,female,adult,1.1,1
2023-06-17_1503_MVI_4887_1,2023-06-17_1503_MVI_4887,1,2023-06-17 15:03:00,Maria Moura,female,adult,5,0
2022-10-23_0912_MVI_7262_1,2022-10-23_0912_MVI_7262,1,2022-10-23 09:12:00,Xote,female,adult,12,0
